#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.345774    0.345774           0
           2    0.356222    0.350998  0.00369406
           3    0.372782     0.35826  0.00641994
           4    0.317809    0.348147  0.00999413
           5    0.350944    0.348706  0.00801095
           6    0.244018    0.331258   0.0172703
           7    0.263414    0.321566   0.0173104
           8    0.362283    0.326656   0.0158772
           9    0.358531    0.330198   0.0145027
          10    0.259122     0.32309   0.0146912
          11    0.289162    0.320006   0.0136756
          12    0.288987    0.317421   0.0127779
          13    0.368638     0.32136   0.0123875
          14    0.348174    0.323276   0.0116498
          15    0.360802    0.325777   0.0111385
          16    0.305994    0.324541   0.0105108
          17    0.300769    0.323143  0.00998506
          18    0.336343    0.323876  0.00945723
          19    0.430055    0.329464   0.0104813
          20    0.185825    0.322282   0.0121716
