#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.998564    0.998564           0
           2    0.940988    0.969776   0.0203562
           3    0.854872    0.931475   0.0340905
           4    0.999352    0.948444   0.0294904
           5    0.998172     0.95839   0.0252137
           6    0.999712    0.965277   0.0219318
           7    0.995524    0.969598   0.0192197
           8    0.989076    0.972033   0.0169707
           9    0.996524    0.974754   0.0153017
          10     0.98074    0.975352   0.0137833
          11     0.98904    0.976597   0.0125863
          12    0.647116     0.94914   0.0287082
          13    0.992836    0.952501   0.0266959
          14       0.997     0.95568   0.0249776
          15    0.993348    0.958191   0.0234383
          16     0.99526    0.960508   0.0220876
          17    0.985276    0.961965   0.0208363
          18     0.99828    0.963982   0.0197762
          19     0.96718    0.964151   0.0187361
          20    0.932412    0.962564   0.0178663
