#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.031188    0.031188           0
           2    0.033264    0.032226 0.000733977
           3    0.026504   0.0303187  0.00163239
           4     0.02712    0.029519  0.00140659
           5    0.059712   0.0355576  0.00551706
           6    0.047212      0.0375  0.00492764
           7    0.056208   0.0401726  0.00489508
           8    0.042648    0.040482  0.00429296
           9      0.0472   0.0412284  0.00388032
          10    0.041288   0.0412344  0.00349229
          11     0.02146   0.0394367  0.00360794
          12    0.024524    0.038194   0.0035148
          13    0.063468   0.0401382   0.0037437
          14    0.050472   0.0408763  0.00354831
          15      0.0297   0.0401312  0.00338909
          16    0.036608    0.039911  0.00318441
          17    0.045856   0.0402607  0.00301624
          18    0.039216   0.0402027  0.00284923
          19    0.052832   0.0408674  0.00277572
          20     0.03622    0.040635  0.00264664
