#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.439125    0.439125           0
           2    0.457421    0.448273  0.00646837
           3    0.432994     0.44318  0.00599063
           4     0.40945    0.434747  0.00857426
           5    0.388571    0.425512   0.0107371
           6     0.45309    0.430108  0.00988254
           7    0.411486    0.427448  0.00882158
           8    0.422399    0.426817  0.00774143
           9    0.420998     0.42617  0.00690821
          10    0.453945    0.428948  0.00675269
          11    0.365667    0.423195   0.0082323
          12    0.378127    0.419439  0.00835917
          13    0.409641    0.418686  0.00775007
          14    0.452771     0.42112  0.00756925
          15    0.394818    0.419367   0.0072649
          16    0.425335     0.41974  0.00682041
          17    0.404595    0.418849  0.00647713
          18    0.414693    0.418618   0.0061214
          19     0.40726     0.41802  0.00582834
          20    0.390311    0.416635  0.00569921
