#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     47.9167     47.9167           0
           2     46.8314     47.3741    0.383709
           3     46.1478     46.9653    0.420503
           4     39.5135     45.1024     1.64389
           5     32.9401     42.6699     2.54224
           6     39.9919     42.2236     2.15736
           7      55.935     44.1823        2.59
           8      35.353     43.0787     2.49032
           9     40.6629     42.8103     2.22804
          10     44.1694     42.9462     2.00938
          11     42.8597     42.9383     1.82672
          12     47.0595     43.2817     1.70647
          13      45.752     43.4718     1.58575
          14     52.5046      44.117     1.59836
          15     40.6781     43.8877     1.50815
          16     52.8026     44.4449     1.51332
          17     43.5863     44.3944     1.42515
          18     42.0002     44.2614     1.35216
          19     46.5229     44.3804     1.28623
          20     32.9118      43.807     1.34367
