#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.93824    -0.93824           0
           2   -0.938208   -0.938224 1.13137e-05
           3   -0.937136   -0.937861 0.000296212
           4    -0.92904   -0.935656  0.00192275
           5   -0.921712   -0.932867  0.00293053
           6   -0.926584    -0.93182  0.00262254
           7   -0.949008   -0.934275  0.00319701
           8    -0.92008   -0.932501  0.00325275
           9   -0.930112   -0.932236  0.00290214
          10   -0.932576    -0.93227  0.00261213
          11   -0.937568   -0.932751  0.00241866
          12   -0.939792   -0.933338  0.00228717
          13   -0.939832   -0.933838   0.0021651
          14   -0.946136   -0.934716  0.00218139
          15   -0.930712   -0.934449  0.00205223
          16   -0.945712   -0.935153  0.00204113
          17   -0.936672   -0.935242  0.00192302
          18    -0.93164   -0.935042  0.00182657
          19   -0.937624   -0.935178  0.00173548
          20     -0.9208   -0.934459  0.00179143
