1	15	2	24	23	30	29	17	4	11	31	5	27	25	28	18	6	16	34	20	32	33	9	7	3	22	26	13	12	10	19	14	21	8	
1	7.17473	6.96586	
15	4.90951	8.71187	
2	4.82205	8.76058	
24	3.4881	9.37194	
23	1.05631	9.94405	
30	0.67379	9.97727	
29	-0.495759	9.9877	
17	-1.82645	9.83179	
4	-4.88159	8.72755	
11	-6.9137	7.22501	
31	-9.8434	1.76281	
5	-9.8968	1.43298	
27	-9.91421	1.30705	
25	-9.99094	0.425475	
28	-9.9935	0.360596	
18	-9.58776	-2.84163	
6	-8.99859	-4.36181	
16	-8.98197	-4.39593	
34	-8.74885	-4.8433	
20	-8.66511	-4.99159	
32	-8.61008	-5.08592	
33	-7.42544	-6.69797	
9	-5.56778	-8.30661	
7	-2.78816	-9.60344	
3	-1.27518	-9.91836	
22	0.29236	-9.99573	
26	0.379884	-9.99278	
13	1.62934	-9.86637	
12	5.17489	-8.5569	
10	8.28785	-5.59567	
19	9.94097	1.08496	
14	9.91194	1.32421	
21	9.18643	3.95088	
8	8.57503	5.14478	
1	7.17473	6.96586
