#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.033332    0.033332           0
           2    0.029632    0.031482  0.00130815
           3    0.026756   0.0299067  0.00155403
           4    0.021164    0.027721   0.0022229
           5    0.033756    0.028928  0.00208036
           6     0.03442   0.0298433   0.0019245
           7    0.038304    0.031052   0.0019933
           8    0.039268    0.032079  0.00199121
           9    0.043716    0.033372  0.00214915
          10    0.030052     0.03304  0.00195971
          11    0.035132   0.0332302  0.00179076
          12    0.039824   0.0337797  0.00172377
          13    0.029092   0.0334191  0.00162846
          14    0.036352   0.0336286  0.00152555
          15    0.029288   0.0333392  0.00145103
          16    0.033096    0.033324  0.00136042
          17     0.03502   0.0334238  0.00128405
          18    0.037372   0.0336431  0.00123131
          19    0.034396   0.0336827  0.00116714
          20    0.036152   0.0338062  0.00111529
