#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.854956    0.854956           0
           2     0.85142    0.853188  0.00125016
           3    0.922784    0.876387     0.01896
           4    0.679004    0.827041   0.0450384
           5    0.736952    0.809023   0.0394705
           6    0.956248    0.833561   0.0397949
           7    0.962748    0.852016     0.03815
           8     0.91136    0.859434   0.0340949
           9    0.924328    0.866644   0.0310596
          10      0.8241     0.86239   0.0282435
          11    0.896528    0.865493   0.0258459
          12    0.930484    0.870909   0.0242529
          13    0.940596     0.87627    0.022972
          14    0.940188    0.880835   0.0217801
          15    0.719836    0.870102   0.0228201
          16    0.913732    0.872829   0.0215561
          17     0.97658    0.878932   0.0211344
          18    0.926592     0.88158   0.0201255
          19    0.893384    0.882201   0.0190758
          20    0.976192    0.886901    0.018692
