# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           5     3.48839   0.0779045   0.0821717   0.0100851
           5     3.67696    0.127402    0.075739   0.0133725
           5     3.86552   0.0178004   0.0268308  0.00551263
           5     4.05408  0.00871607   0.0262022   0.0123525
           5     4.24264   0.0439978   0.0228877   0.0072707
           5      4.4312   0.0103611   0.0111124  0.00249543
           5     4.61976           0  0.00436049  0.00337393
           5     4.80833           0 0.000412479 0.000245955
           5     4.99689           0 9.82093e-05  8.7841e-05
           5     5.18545           0           0           0
           5     5.37401           0           0           0
           5     5.56257           0           0           0

           6   0.0942809   0.0299047   0.0135692  0.00414142
           6    0.282843   0.0219743    0.053876   0.0140557
           6    0.471405   0.0490801   0.0964824   0.0117238
           6    0.659966    0.206534    0.188505   0.0192042
           6    0.848528    0.355739    0.290417   0.0310553
           6     1.03709    0.426793    0.353083   0.0314883
           6     1.22565    0.494705    0.399654   0.0293331
           6     1.41421    0.528661    0.459943   0.0288405
           6     1.60278    0.486676     0.43589   0.0222001
           6     1.79134    0.431286    0.395305   0.0232671
           6      1.9799    0.417119    0.428958   0.0175815
           6     2.16846    0.374865    0.398247   0.0270932
           6     2.35702    0.354265    0.424223   0.0356288
           6     2.54558    0.253134    0.345529   0.0550785
           6     2.73415    0.266491    0.304379   0.0273286
           6     2.92271    0.122271    0.202892   0.0247864
           6     3.11127   0.0713736    0.146058   0.0240973
           6     3.29983    0.140611     0.11281   0.0107066
           6     3.48839    0.118833    0.088282   0.0100868
           6     3.67696   0.0630995   0.0736324   0.0113084
           6     3.86552     0.02605   0.0267006  0.00459539
           6     4.05408   0.0112941   0.0237175   0.0105407
           6     4.24264   0.0390382   0.0255794  0.00653822
           6      4.4312  0.00753756   0.0105166  0.00214947
           6     4.61976  0.00596621  0.00462811   0.0028222
           6     4.80833           0 0.000343732 0.000214355
           6     4.99689           0 8.18411e-05 7.47103e-05
           6     5.18545           0           0           0
           6     5.37401           0           0           0
           6     5.56257           0           0           0

           7   0.0942809  0.00932988   0.0129636   0.0035938
           7    0.282843   0.0380315   0.0516125   0.0122287
           7    0.471405    0.129096    0.101142   0.0109356
           7    0.659966    0.258708    0.198534   0.0188989
           7    0.848528    0.250876    0.284768   0.0271277
           7     1.03709    0.399024    0.359646   0.0276655
           7     1.22565    0.495589    0.413359   0.0281628
           7     1.41421    0.441844    0.457357   0.0248361
           7     1.60278    0.550095    0.452205   0.0242949
           7     1.79134    0.503764    0.410799   0.0245664
           7      1.9799    0.463204     0.43385   0.0157359
           7     2.16846    0.374889     0.39491   0.0234273
           7     2.35702    0.357605    0.414706   0.0317846
           7     2.54558      0.3236    0.342396   0.0472991
           7     2.73415    0.168257    0.284933   0.0295438
           7     2.92271   0.0592693    0.182375   0.0284991
           7     3.11127    0.080949    0.136756    0.022378
           7     3.29983    0.115273    0.113162  0.00918287
           7     3.48839   0.0610371   0.0843898  0.00936672
           7     3.67696   0.0633941   0.0721698  0.00978707
           7     3.86552    0.069434   0.0328054  0.00688905
           7     4.05408   0.0513143   0.0276599  0.00974429
           7     4.24264  0.00950175   0.0232826  0.00599405
           7      4.4312    0.016671   0.0113958  0.00201421
           7     4.61976  0.00955085  0.00533136  0.00250512
           7     4.80833  0.00142403 0.000498061  0.00023275
           7     4.99689 0.000883883 0.000196419 0.000123909
           7     5.18545 0.000687465 9.82093e-05 9.09241e-05
           7     5.37401           0           0           0
           7     5.56257           0           0           0

           8   0.0942809  0.00770943   0.0123068  0.00320403
           8    0.282843    0.038228   0.0499394   0.0108139
           8    0.471405    0.173388    0.110172   0.0127641
           8    0.659966    0.270149    0.207486   0.0185358
           8    0.848528    0.338208    0.291448   0.0245454
           8     1.03709    0.365584    0.360388   0.0242172
           8     1.22565      0.3839    0.409677    0.024882
           8     1.41421    0.453972    0.456934   0.0217352
           8     1.60278    0.455691     0.45264    0.021262
           8     1.79134    0.500941    0.422067   0.0239406
           8      1.9799    0.369733    0.425835   0.0156776
           8     2.16846    0.341277    0.388206   0.0214367
           8     2.35702    0.461878    0.420603   0.0283532
           8     2.54558    0.310734    0.338438    0.041552
           8     2.73415    0.226495    0.277628   0.0267386
           8     2.92271    0.183504    0.182516   0.0249371
           8     3.11127    0.131257    0.136069   0.0195913
           8     3.29983   0.0476069    0.104967   0.0111047
           8     3.48839   0.0786902   0.0836774  0.00822293
           8     3.67696   0.0502586   0.0694309  0.00893872
           8     3.86552   0.0633204   0.0366198  0.00700476
           8     4.05408   0.0430893   0.0295886  0.00871503
           8     4.24264  0.00768488   0.0213329  0.00555285
           8      4.4312           0  0.00997131  0.00220945
           8     4.61976           0  0.00466494   0.0022789
           8     4.80833           0 0.000435804 0.000211819
           8     4.99689           0 0.000171866 0.000110826
           8     5.18545           0 8.59331e-05 8.03831e-05
           8     5.37401           0           0           0
           8     5.56257           0           0           0

           9   0.0942809  0.00095754   0.0110458  0.00308622
           9    0.282843   0.0148296   0.0460383    0.010292
           9    0.471405   0.0992405    0.108958   0.0114035
           9    0.659966    0.245597     0.21172   0.0169531
           9    0.848528    0.372606    0.300466   0.0234161
           9     1.03709    0.436147    0.368806   0.0229428
           9     1.22565    0.423748     0.41124   0.0221664
           9     1.41421    0.435214    0.454521   0.0194537
           9     1.60278    0.424534    0.449517   0.0191275
           9     1.79134    0.483141    0.428853   0.0222215
           9      1.9799    0.303246    0.412214   0.0189505
           9     2.16846    0.402535    0.389798   0.0191138
           9     2.35702    0.419845    0.420518    0.025203
           9     2.54558    0.361066    0.340953   0.0370111
           9     2.73415    0.227526    0.272062   0.0243403
           9     2.92271    0.304572    0.196078   0.0255897
           9     3.11127    0.132116     0.13563   0.0174194
           9     3.29983   0.0753756    0.101679   0.0103462
           9     3.48839   0.0710544   0.0822748  0.00742793
           9     3.67696   0.0278914   0.0648154   0.0090591
           9     3.86552   0.0329001   0.0362065  0.00623863
           9     4.05408  0.00358464   0.0266993  0.00821169
           9     4.24264   0.0037565     0.01938  0.00526811
           9      4.4312  0.00181687  0.00906526  0.00214169
           9     4.61976           0  0.00414661   0.0020838
           9     4.80833           0 0.000387381  0.00019374
           9     4.99689           0  0.00015277 0.000100144
           9     5.18545           0  7.6385e-05 7.20165e-05
           9     5.37401           0           0           0
           9     5.56257           0           0           0

          10   0.0942809   0.0102383   0.0109651  0.00277865
          10    0.282843   0.0257308   0.0440076  0.00946103
          10    0.471405   0.0848283    0.106545   0.0105153
          10    0.659966    0.204226    0.210971   0.0152743
          10    0.848528    0.307076    0.301127   0.0210838
          10     1.03709    0.339829    0.365908   0.0208307
          10     1.22565    0.442777    0.414394   0.0201729
          10     1.41421    0.610543    0.470123   0.0229265
          10     1.60278    0.518741     0.45644   0.0184249
          10     1.79134    0.450363    0.431004   0.0201032
          10      1.9799      0.3702    0.408013    0.017515
          10     2.16846    0.313459    0.382164   0.0186648
          10     2.35702    0.312919    0.409759   0.0248737
          10     2.54558    0.396274    0.346485   0.0337209
          10     2.73415    0.160106    0.260866   0.0243452
          10     2.92271    0.348987    0.211368   0.0272184
          10     3.11127    0.174174    0.139484   0.0160983
          10     3.29983   0.0790339   0.0994148  0.00955619
          10     3.48839   0.0693849   0.0809858  0.00679606
          10     3.67696   0.0178004   0.0601139  0.00929344
          10     3.86552   0.0529348   0.0378793  0.00583474
          10     4.05408  0.00608898   0.0246383   0.0076448
          10     4.24264  0.00643271   0.0180852  0.00489781
          10      4.4312  0.00115396  0.00827413  0.00206848
          10     4.61976           0  0.00373195  0.00191623
          10     4.80833           0 0.000348643 0.000178196
          10     4.99689           0 0.000137493 9.12871e-05
          10     5.18545           0 6.87465e-05 6.52186e-05
          10     5.37401           0           0           0
          10     5.56257           0           0           0

          11   0.0942809 0.000122762   0.0099794  0.00269521
          11    0.282843   0.0287999   0.0426251  0.00870136
          11    0.471405    0.197671    0.114829   0.0124004
          11    0.659966    0.209849    0.210869   0.0138861
          11    0.848528    0.306806    0.301643   0.0191734
          11     1.03709    0.348888    0.364361   0.0189944
          11     1.22565    0.441181    0.416829   0.0184854
          11     1.41421     0.47332    0.470413   0.0208441
          11     1.60278     0.45601    0.456401   0.0167499
          11     1.79134    0.406341    0.428762   0.0184002
          11      1.9799    0.425222    0.409577   0.0159924
          11     2.16846    0.365363    0.380637   0.0170303
          11     2.35702    0.373711    0.406481   0.0228273
          11     2.54558    0.398484    0.351212   0.0309849
          11     2.73415    0.269511    0.261652   0.0221447
          11     2.92271     0.21994    0.212148   0.0247552
          11     3.11127     0.09104     0.13508   0.0152253
          11     3.29983   0.0993878   0.0994123  0.00868745
          11     3.48839   0.0957295   0.0823262  0.00630902
          11     3.67696   0.0447343   0.0587158  0.00855311
          11     3.86552   0.0205012   0.0362995  0.00551404
          11     4.05408  0.00498412   0.0228515  0.00715557
          11     4.24264   0.0108767   0.0174299  0.00449618
          11      4.4312   0.0127672  0.00868259  0.00192034
          11     4.61976  0.00206239  0.00358017  0.00174803
          11     4.80833           0 0.000316948 0.000164791
          11     4.99689           0 0.000124994 8.38396e-05
          11     5.18545           0 6.24968e-05 5.95884e-05
          11     5.37401           0           0           0
          11     5.56257           0           0           0

          12   0.0942809  0.00385471  0.00946901  0.00251847
          12    0.282843   0.0199365   0.0407343  0.00817909
          12    0.471405   0.0926605    0.112982   0.0115038
          12    0.659966    0.237863    0.213118   0.0129099
          12    0.848528    0.318812    0.303074   0.0176289
          12     1.03709    0.407765    0.367978   0.0177526
          12     1.22565     0.35402    0.411595   0.0176704
          12     1.41421    0.452917    0.468955   0.0191581
          12     1.60278    0.508331    0.460728   0.0159033
          12     1.79134    0.489819     0.43385   0.0175563
          12      1.9799    0.464137    0.414124   0.0152924
          12     2.16846    0.375331    0.380195   0.0156169
          12     2.35702    0.468483    0.411648   0.0215018
          12     2.54558    0.328338    0.349306   0.0284614
          12     2.73415     0.31287     0.26592   0.0207066
          12     2.92271    0.174665    0.209024   0.0228885
          12     3.11127    0.120012    0.133824   0.0140082
          12     3.29983   0.0462811   0.0949847  0.00902149
          12     3.48839   0.0204275   0.0771679  0.00760501
          12     3.67696   0.0113186    0.054766  0.00870469
