#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.022236    0.022236           0
           2    0.036704     0.02947  0.00511521
           3     0.03412     0.03102  0.00363741
           4    0.029152    0.030553  0.00275787
           5    0.039556   0.0323536  0.00273157
           6    0.038196   0.0333273  0.00244371
           7    0.033716   0.0333829  0.00209524
           8     0.04044    0.034265  0.00201048
           9    0.030416   0.0338373  0.00183201
          10    0.027928   0.0332464  0.00174151
          11    0.045144    0.034328  0.00188944
          12     0.03994   0.0347957  0.00178893
          13    0.030328    0.034452  0.00168401
          14    0.039744     0.03483  0.00160559
          15    0.035796   0.0348944  0.00149984
          16    0.029088   0.0345315  0.00144934
          17    0.034008   0.0345007  0.00136441
          18     0.03188   0.0343551  0.00129635
          19    0.041256   0.0347183  0.00127799
          20    0.020296   0.0339972  0.00140286
