#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.159752    0.159752           0
           2    0.121156    0.140454   0.0136457
           3    0.133516    0.138141  0.00929107
           4    0.192572    0.151749   0.0136906
           5    0.168652     0.15513   0.0113622
           6    0.159624    0.155879  0.00949319
           7    0.181876    0.159593  0.00883367
           8    0.177392    0.161817  0.00800475
           9    0.191536     0.16512   0.0077666
          10    0.187248    0.167332  0.00729837
          11    0.148224    0.165595  0.00683849
          12     0.13496    0.163042   0.0067283
          13    0.165036    0.163196  0.00621248
          14    0.148244    0.162128  0.00585981
          15    0.177452    0.163149   0.0055575
          16    0.149572    0.162301  0.00527454
          17     0.16114    0.162232  0.00496472
          18    0.119564    0.159862  0.00522425
          19     0.15666    0.159693    0.004952
          20    0.180728    0.160745  0.00481479
