#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.036324    0.036324           0
           2    0.025668    0.030996  0.00376746
           3    0.021356   0.0277827  0.00363208
           4    0.037544    0.030223  0.00344774
           5    0.039732   0.0321248  0.00324054
           6     0.01942   0.0300073  0.00332097
           7     0.01864   0.0283834  0.00321919
           8    0.033932    0.029077  0.00289054
           9    0.023828   0.0284938  0.00262755
          10    0.021644   0.0278088  0.00245245
          11    0.015452   0.0266855  0.00247343
          12    0.021016    0.026213  0.00231199
          13    0.019928   0.0257295  0.00218411
          14    0.031248   0.0261237  0.00206337
          15    0.044832   0.0273709  0.00227169
          16     0.02276   0.0270828  0.00214791
          17    0.033592   0.0274656  0.00205541
          18    0.034148   0.0278369  0.00197446
          19    0.031784   0.0280446  0.00188144
          20    0.030268   0.0281558  0.00179065
