#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04454     0.04454           0
           2     0.04382     0.04418 0.000254558
           3    0.042484   0.0436147 0.000491801
           4     0.03604    0.041721  0.00168093
           5    0.054264   0.0442296  0.00261587
           6    0.050252   0.0452333  0.00236464
           7    0.045468   0.0452669  0.00202707
           8    0.045624   0.0453115  0.00177418
           9    0.043836   0.0451476   0.0015846
          10     0.04562   0.0451948  0.00142685
          11    0.053212   0.0459236  0.00147155
          12    0.037088   0.0451873  0.00152202
          13    0.041692   0.0449185   0.0014285
          14    0.058688    0.045902  0.00163026
          15    0.051728   0.0462904  0.00156716
          16    0.035156   0.0455945  0.00161635
          17    0.026292   0.0444591  0.00187821
          18    0.055672    0.045082  0.00187432
          19    0.040068   0.0448181  0.00179416
          20    0.055136    0.045334  0.00177707
