#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.556232   -0.556232           0
           2   -0.556208    -0.55622 8.48528e-06
           3   -0.560168   -0.557536  0.00107452
           4   -0.552632    -0.55631  0.00133296
           5   -0.556352   -0.556318  0.00106639
           6    -0.55444   -0.556005 0.000933483
           7   -0.553288   -0.555617 0.000877137
           8   -0.555296   -0.555577 0.000768413
           9   -0.555824   -0.555604 0.000683524
          10   -0.556192   -0.555663 0.000617692
          11   -0.557584   -0.555838   0.0005857
          12    -0.55524   -0.555788 0.000539006
          13   -0.551608   -0.555466 0.000585649
          14   -0.555328   -0.555457   0.0005439
          15   -0.556488   -0.555525 0.000511968
          16   -0.552984   -0.555367 0.000504007
          17   -0.557528   -0.555494 0.000490135
          18    -0.55168   -0.555282 0.000506632
          19   -0.553928   -0.555211 0.000484951
          20    -0.55348   -0.555124 0.000468359
