#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.273473    0.273473           0
           2    0.277719    0.275596  0.00150135
           3    0.269224    0.273472  0.00200222
           4     0.26959    0.272502  0.00172092
           5    0.270565    0.272114  0.00141964
           6    0.271096    0.271945  0.00119313
           7    0.271595    0.271895  0.00102373
           8    0.263718    0.270873  0.00131015
           9    0.274734    0.271302  0.00123284
          10    0.265817    0.270753  0.00122551
          11    0.272936    0.270952  0.00113005
          12    0.273732    0.271183  0.00105938
          13    0.275674    0.271529  0.00103268
          14    0.272674    0.271611 0.000962152
          15    0.265234    0.271185 0.000987462
          16    0.270789    0.271161 0.000926057
          17    0.264281    0.270756 0.000955934
          18    0.267723    0.270587 0.000917557
          19     0.27138    0.270629 0.000870212
          20    0.273695    0.270782 0.000840092
