#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.21928     2.21928           0
           2     2.09249     2.15588   0.0448253
           3     2.17309     2.16162   0.0302483
           4     2.21199     2.17421   0.0251719
           5     2.29903     2.19918   0.0300683
           6     2.19466     2.19843   0.0250663
           7     1.98409     2.16781   0.0355695
           8     2.29099      2.1832   0.0342946
           9     2.29313     2.19542   0.0325864
          10     2.16215     2.19209   0.0294971
          11     2.13272     2.18669   0.0273049
          12     2.26511     2.19323   0.0257996
          13     2.25896     2.19828   0.0243054
          14     2.17622     2.19671   0.0226203
          15     2.29867     2.20351     0.02211
          16     2.19114     2.20273   0.0207417
          17     2.17362     2.20102   0.0195921
          18     2.14177     2.19773   0.0187782
          19      2.0707     2.19104   0.0189427
          20     2.11114     2.18705    0.018412
