# BLOCK:    VELOCITY:    BLOCK_POFV:    AVE_POFV:    ERROR:
           5     2.04441    0.459027    0.458122   0.0138374
           5     2.19584    0.341878    0.399829   0.0162342
           5     2.34728    0.291435    0.317066   0.0144337
           5     2.49872    0.366213    0.271301   0.0304426
           5     2.65016     0.34414    0.313899   0.0100797
           5     2.80159    0.175632     0.22144    0.023199
           5     2.95303    0.133871    0.132655   0.0146894
           5     3.10447    0.155852     0.14599   0.0147534
           5     3.25591   0.0732792    0.112771   0.0166425
           5     3.40735   0.0475382   0.0914874   0.0110004
           5     3.55878   0.0262912   0.0547653   0.0197107
           5     3.71022    0.021461   0.0293789  0.00854135
           5     3.86166   0.0372969   0.0344538  0.00856046
           5      4.0131   0.0117699   0.0181226  0.00686682
           5     4.16453   0.0104859   0.0108161  0.00517264
           5     4.31597  0.00317941  0.00245793  0.00131132
           5     4.46741   0.0117699  0.00300209  0.00203549

           6   0.0757188  0.00324055  0.00490668  0.00102033
           6    0.227156  0.00975222   0.0320539   0.0129651
           6    0.378594    0.077284   0.0845905  0.00961947
           6    0.530031    0.165176    0.131456   0.0148439
           6    0.681469    0.254138    0.315846   0.0217229
           6    0.832907    0.290579    0.376785   0.0224535
           6    0.984344    0.260864    0.352287   0.0199203
           6     1.13578    0.341756    0.364648   0.0105239
           6     1.28722    0.580089    0.485996   0.0261046
           6     1.43866    0.659238     0.50709   0.0321834
           6     1.59009    0.580486    0.516669   0.0431097
           6     1.74153     0.40996    0.388438   0.0384613
           6     1.89297     0.36713    0.409924   0.0193533
           6     2.04441     0.43671    0.454553   0.0119825
           6     2.19584    0.431268    0.405069   0.0143493
           6     2.34728    0.388682    0.329002   0.0162296
           6     2.49872    0.245731     0.26704   0.0256654
           6     2.65016    0.304275    0.312295   0.0085264
           6     2.80159    0.232616    0.223302   0.0194072
           6     2.95303    0.167347    0.138437   0.0133306
           6     3.10447    0.126076    0.142671   0.0126624
           6     3.25591   0.0503202    0.102363   0.0168114
           6     3.40735   0.0539888   0.0852376   0.0107974
           6     3.55878   0.0298375   0.0506106   0.0168578
           6     3.71022   0.0348512    0.030291  0.00716632
           6     3.86166   0.0116171   0.0306476  0.00793486
           6      4.0131   0.0220113   0.0187707  0.00575286
           6     4.16453  0.00721481   0.0102159  0.00434522
