#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.763224   -0.763224           0
           2    -0.75764   -0.760432  0.00197424
           3     -0.7596   -0.760155   0.0013355
           4   -0.762336     -0.7607  0.00110738
           5   -0.764984   -0.761557  0.00117137
           6   -0.762672   -0.761743  0.00099078
           7   -0.764504   -0.762137  0.00092444
           8   -0.757976   -0.761617 0.000943941
           9   -0.760224   -0.761462 0.000851654
          10   -0.758088   -0.761125 0.000830646
          11   -0.759344   -0.760963 0.000770747
          12   -0.759104   -0.760808 0.000721918
          13   -0.762704   -0.760954 0.000680959
          14   -0.766208   -0.761329 0.000728433
          15   -0.762912   -0.761435 0.000687471
          16     -0.7656   -0.761695 0.000692043
          17   -0.760648   -0.761633 0.000654069
          18   -0.762304   -0.761671 0.000618792
          19   -0.761968   -0.761686 0.000586422
          20   -0.759848   -0.761594 0.000564258
