#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1       0.423       0.423           0
           2    0.426122    0.424561  0.00110352
           3    0.404472    0.417865  0.00551678
           4    0.404079    0.414418  0.00510173
           5    0.427014    0.416937  0.00466204
           6    0.447771    0.422076  0.00609104
           7    0.418794    0.421607  0.00523891
           8    0.426707    0.422245  0.00462267
           9    0.418301    0.421807  0.00412975
          10    0.415401    0.421166  0.00376612
          11    0.442794    0.423132  0.00390341
          12    0.413464    0.422327  0.00366033
          13    0.410514    0.421418  0.00348973
          14    0.408697    0.420509  0.00335667
          15     0.42172     0.42059  0.00313386
          16    0.411296    0.420009  0.00299135
          17    0.419851        0.42   0.0028154
          18    0.427191    0.420399  0.00268718
          19     0.41363    0.420043  0.00256926
          20    0.426143    0.420348  0.00245883
