#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.73228     7.73228           0
           2     6.97504     7.35366    0.267725
           3      6.8312     7.17951    0.228201
           4     7.71266     7.31279    0.206438
           5     7.82031      7.4143     0.18846
           6      7.7523     7.47063    0.165255
           7     7.73348     7.50818    0.145851
           8     6.99743     7.44434    0.140901
           9     6.65542     7.35668    0.150055
          10      7.3271     7.35372    0.135079
          11     6.66173     7.29081    0.136665
          12     6.76724     7.24718    0.132057
          13     7.49271     7.26607    0.123242
          14     7.39875     7.27555    0.114803
          15     7.91158     7.31795    0.114713
          16     7.00822     7.29859    0.109165
          17     6.90667     7.27554     0.10515
          18     7.91804     7.31123    0.105192
          19     7.32783     7.31211   0.0996593
          20     6.78074     7.28554   0.0981538
